,0
0,啊
1,我魏宇鑫今天冲死在这里
2,是什么
3,别看了
4,老师
5,你学不会的
6,是你吗
7,老婆
8,爱你
9,慈父和善的目光
10,神仙姐姐
11,诸君
12,北伐吧
13,姐姐好美我好爱
14,老婆
15,老婆
16,爱了爱了
17,俄语老师要是长这样
18,醒醒我没有俄语老师
19,不
20,雄
21,回家
22,这么白
23,姐姐给个姬会
24,俄国人都好好看啊
25,大伊万警告
26,诸君
27,老婆
28,这是我老婆
29,无敌侧脸
30,北伐
31,学俄语去
32,乌拉
33,每天一遍
34,汲
35,垂死病中惊坐起
36,牛批
37,你们收藏都不顺便点赞的吗
38,我竟然收藏过
39,震惊我自己一百年
40,姐姐给个姬会
41,绝了呀
42,韻
43,朱唇轻启
44,女同竟是我自己
45,垅
46,太绝了卧槽
47,把图片发给我
48,老婆
49,好看
50,每日一遍
51,女生再见
52,我弯了
53,嗨
54,老婆
55,小姐姐
56,你一次能喝多少伏特加
57,颜值真的超级漂亮
58,老婆子
59,胡林峰注意身体
60,姐姐给个姬会
61,靅
62,全妹
63,是你吗
64,真的很漂亮
65,好漂亮
66,好漂亮
67,只不过大部分成大妈了
68,俄罗斯漂亮的更多
69,啊啊啊啊好好看的姐姐
70,乌拉乌拉乌拉乌拉乌拉乌拉乌拉乌拉
71,觉得太一般了
72,觉得太一般了
73,太美了太美了斯哈斯哈
74,我直接自信
75,嗨
76,老婆
77,就图一乐
78,及图一乐
79,老婆
80,姐姐给个姬会
81,哇妈妈呀太好看了流口水
82,现在开始学俄语不晚吧
83,下辈子我也要当俄罗斯大美妞
84,不是啊
85,这长得犯规啊
86,强忍不冲
87,啊啊啊啊啊
88,太爱了
89,好白啊
90,这个姐姐
91,整形怪
92,女同竟是我自己
93,嗨
94,老婆
95,老婆
96,我
97,老婆
98,亲我
99,这是素颜吗
100,你看我有姬会吗
101,姐姐
102,别想了
103,俄罗斯的
104,当不了你老婆
105,可以直接叫爸爸
106,我愿意
107,诸君
108,拔刀吧
109,这是我的女人
110,完了
111,我弯了
112,她是俄罗斯版本的刘亦菲嘛
113,好美
114,谢尔曼
115,爱了爱了
116,他会乌拉吗
117,再来亿遍
118,求
119,夏剑常少冲点
120,老婆啊
121,啊啊啊啊啊啊啊啊啊
122,梦开始的地方
123,这该死的美
124,收复露西亚刻不容缓
125,我就是来听歌的
126,这么漂亮肯定是个男孩子吧
127,正主已经来到
128,站了
129,公主已经对不起了
130,仙女才对
131,好白
132,我的壁纸就是这个视频
133,姐姐娶我
134,梦开始的地方
135,天啊
136,这这这
137,不拿去种田
138,性感对我来说太容易了
139,必须西征
140,玄
141,姐姐
142,给个姬会
143,肌
144,老婆
145,没有弹幕
146,乌拉
147,但凡重婚不犯法我也不会想尽办法灭在场各位的口
148,里面有这个
149,评论了泡
150,我好像在天噜啦见过
151,我老婆谁也别跟我抢
152,老婆我爱你
153,老婆老婆
154,啊啊啊啊啊
155,谁能把我的弹幕赞变成彩色
156,我就把我孙女许配给他
157,我孙女
158,叫爷爷吧各位
159,越看越像我数学老师
160,帅哥美女谁不爱呢
161,长得真的很符合亚洲人审美
162,家妻献丑了兄弟们
163,这位女菩萨
164,平僧自动土大唐而来
165,果然美人在骨不在皮
166,羡慕哈
167,我们正常人都一样
168,太好看啦
169,老婆
170,嗨
171,啊啊啊啊啊啊啊
172,姐姐娶我
173,姐姐娶我
174,卧槽
175,每天一遍恋爱再见
176,我孙女
177,各位叫爷爷吧
178,老婆
179,不难看出是家妻
180,万收藏就里普
181,啊啊啊
182,啊
183,绝了绝了
184,太绝了
185,这颜值漂亮到极致
186,这可耻的收藏量
187,比点赞还多
188,女同竟是我自己
189,啊啊啊姐姐我可以
190,额
191,为什么会长得有点像我姐姐
192,跟眼镜广告似的拍的
193,防止早恋
194,哈哈哈
195,今晚就去解放俄罗斯
196,叫别人喊爹的弟弟
197,你有欠爷爷们都收拾了
198,这个是不是眼镜广告
199,国内画一字眉的都看看
200,傻不傻
201,拔枪吧各位
202,当年那个暴龙眼镜的广告真的迷死人
203,伟大俄罗斯
